DATE	RAA	DEC	ELEVATION	AZIMUTH	GIRI-EL	GIRI-AZ	V-EL	V-AZ
2024-08-21T11:17:21	55.19745646922524	172.31583868280723	151.45925235794536	11.4585	20000000	20000000	-812.2543530774765	11723.416131719277
2024-08-21T11:17:36	55.32119190017528	175.04805752726307	149.92874764205462	11.4585	442837	9778344	-799.8808099824719	11450.194247273692
2024-08-21T11:17:37	55.34141557513205	175.0533597392736	149.92869344617242	11.4785	20000000	20000000	-797.8584424867954	11449.664026072642
2024-08-21T11:17:52	55.229271085884086	172.5346791250226	151.45930655382756	11.4785	401354	9014111	-809.0728914115912	11701.53208749774
2024-08-21T11:17:53	55.249568115395704	172.5386662279794	151.45936085065017	11.4985	20000000	20000000	-807.0431884604295	11701.133377202059
2024-08-21T11:18:08	55.3689992793748	175.27494174596396	149.9286391493498	11.4985	427432	9792862	-795.1000720625202	11427.505825403605
2024-08-21T11:18:09	55.389214542043774	175.2803445413033	149.928584751552	11.5185	20000000	20000000	-793.0785457956226	11426.96554586967
2024-08-21T11:18:24	55.28103985763252	172.75791855658704	151.45941524844798	11.5185	387146	9027516	-803.8960142367478	11679.208144341295
2024-08-21T11:18:25	55.30133092261165	172.76200921764638	151.45946974725575	11.5385	20000000	20000000	-801.8669077388354	11678.799078235363
2024-08-21T11:18:40	55.41644488623199	175.50230243643955	149.92853025274422	11.5385	411981	9807241	-790.3555113768007	11404.769756356045
2024-08-21T11:18:41	55.43665185055645	175.50781429951522	149.92847565289165	11.5585	20000000	20000000	-788.334814944355	11404.218570048477
2024-08-21T11:18:56	55.332460627401574	172.98171060668963	151.45952434710833	11.5585	372890	9040678	-798.7539372598426	11656.828939331037
2024-08-21T11:18:57	55.35274551161969	172.9859039570823	151.45957904804067	11.5785	20000000	20000000	-796.7254488380313	11656.409604291772
2024-08-21T11:19:12	55.46352862741366	175.7301726963592	149.9284209519593	11.5785	396481	9821469	-785.6471372586343	11381.98273036408
2024-08-21T11:19:13	55.483727087777105	175.7357929780272	149.92836614991222	11.5985	20000000	20000000	-783.6272912222894	11381.42070219728
2024-08-21T11:19:28	55.383528452530555	173.20598054073446	151.45963385008776	11.5985	358601	9053951	-793.6471547469446	11634.401945926555
2024-08-21T11:19:29	55.403806908821984	173.21027495932512	151.45968875328467	11.618500000000001	20000000	20000000	-791.6193091178015	11633.97250406749
2024-08-21T11:19:45	55.51024635871978	175.95845093918655	149.9283112467153	11.618500000000001	380936	9835453	-780.9753641280217	11359.154906081345
2024-08-21T11:19:46	55.53043608825786	175.9641780970408	149.92825624233342	11.6385	20000000	20000000	-778.9563911742143	11358.582190295921
2024-08-21T11:20:01	55.434243275571475	173.43074900452285	151.45974375766656	11.6385	344264	9066895	-788.5756724428525	11611.925099547716
2024-08-21T11:20:02	55.454515513404516	173.43515272587024	151.45979886326862	11.6585	20000000	20000000	-786.5484486595483	11611.484727412975
2024-08-21T11:20:17	55.55660056511148	176.18725947581953	149.92820113673136	11.6585	365352	9849521	-776.339943488852	11336.274052418048
2024-08-21T11:20:18	55.57678130057735	176.1930908024186	149.9281459298738	11.6785	20000000	20000000	-774.321869942265	11335.69091975814
2024-08-21T11:20:33	55.484604249554486	173.65602238788765	151.45985407012617	11.6785	329892	9079920	-783.5395750445514	11589.397761211236
2024-08-21T11:20:34	55.50486621929737	173.66044909094427	151.45990937827452	11.698500000000001	20000000	20000000	-781.5133780702631	11588.955090905572
2024-08-21T11:20:49	55.602584891279776	176.4164010646915	149.92809062172546	11.698500000000001	349725	9863282	-771.7415108720224	11313.35989353085
2024-08-21T11:20:50	55.622756541820465	176.42234012364028	149.92803521225085	11.7185	20000000	20000000	-769.7243458179537	11312.765987635972
2024-08-21T11:21:05	55.534605753376674	173.88169743068465	151.45996478774913	11.7185	315483	9092712	-778.5394246623327	11566.830256931535
2024-08-21T11:21:06	55.55486411330785	173.88630065989142	151.46002029858545	11.7385	20000000	20000000	-776.5135886692151	11566.369934010858
2024-08-21T11:21:21	55.64820420810231	176.64610321751164	149.92797970141453	11.7385	334055	9877063	-767.1795791897694	11290.389678248837
2024-08-21T11:21:22	55.66836647293305	176.65214628438054	149.92792408918086	11.7585	20000000	20000000	-765.1633527066947	11289.785371561946
2024-08-21T11:21:37	55.584253984069484	174.10794129174982	151.4600759108191	11.7585	301030	9105461	-773.5746015930517	11544.205870825019
2024-08-21T11:21:38	55.60450537330514	174.11265051723538	151.46013162448574	11.778500000000001	20000000	20000000	-771.5494626694863	11543.734948276462
2024-08-21T11:21:53	55.69345405294529	176.87623526225843	149.92786837551424	11.778500000000001	318338	9890599	-762.654594705471	11267.376473774157
2024-08-21T11:21:54	55.713606750479805	176.88238343742464	149.92781256037895	11.7985	20000000	20000000	-760.6393249520197	11266.761656257537
2024-08-21T11:22:09	55.63354390721822	174.33466641259218	151.46018743962102	11.7985	286537	9118030	-768.6456092781782	11521.53335874078
2024-08-21T11:22:10	55.65378808729578	174.339481394314	151.46024335626072	11.8185	20000000	20000000	-766.6211912704221	11521.051860568601
2024-08-21T11:22:25	55.73833443655818	177.10684735702	149.92775664373926	11.8185	302583	9904132	-758.1665563441816	11244.315264298
2024-08-21T11:22:26	55.758477413120346	177.11310408708107	149.92770062555923	11.8385	20000000	20000000	-756.1522586879655	11243.689591291894
2024-08-21T11:22:41	55.68247594792238	174.56191461238748	151.46029937444075	11.8385	272001	9130458	-763.7524052077624	11498.808538761252
2024-08-21T11:22:42	55.70271284706634	174.56683988220044	151.460355494197	11.858500000000001	20000000	20000000	-761.7287152933663	11498.316011779956
2024-08-21T11:22:57	55.78284379318404	177.33792409257828	149.927644505803	11.858500000000001	286780	9917439	-753.7156206815957	11221.207590742171
2024-08-21T11:22:58	55.802976754815575	177.344286690125	149.9275882844345	11.8785	20000000	20000000	-751.7023245184428	11220.571330987501
2024-08-21T11:23:13	55.73104816788961	174.78967125248235	151.46041171556547	11.8785	257425	9142719	-758.8951832110388	11476.032874751765
2024-08-21T11:23:14	55.75127721145011	174.79469844592734	151.4604680385822	11.8985	20000000	20000000	-756.872278854989	11475.530155407267
2024-08-21T11:23:29	55.82697853836396	177.56932667117	149.92753196141777	11.8985	270927	9930123	-749.302146163604	11198.067332883002
2024-08-21T11:23:30	55.84710133773953	177.5758004588726	149.9274755367166	11.9185	20000000	20000000	-747.2898662260468	11197.419954112738
2024-08-21T11:23:45	55.77925287052577	175.0177542381237	151.46052446328338	11.9185	242823	9154997	-754.0747129474234	11453.22457618763
2024-08-21T11:23:46	55.79947399922097	175.02288868298882	151.4605809897052	11.938500000000001	20000000	20000000	-752.0526000779028	11452.711131701119
2024-08-21T11:24:01	55.87074143874046	177.8012739720074	149.92741901029478	11.938500000000001	255059	9943569	-744.9258561259539	11174.87260279926
2024-08-21T11:24:02	55.89085379460656	177.80785836935328	149.92736238211606	11.9585	20000000	20000000	-742.9146205393445	11174.214163064673
2024-08-21T11:24:18	55.827098798696404	175.24644256418722	151.46063761788392	11.9585	228172	9167057	-749.2901201303594	11430.355743581278
2024-08-21T11:24:19	55.84731169596881	175.25168323724387	151.4606943478559	11.9785	20000000	20000000	-747.268830403119	11429.831676275613
2024-08-21T11:24:34	55.91412952508552	178.03367124268138	149.92730565214407	11.9785	239134	9956463	-740.5870474914477	11151.632875731862
2024-08-21T11:24:35	55.93423117505438	178.04036669545974	149.92724882034236	11.9985	20000000	20000000	-738.5768824945621	11150.963330454026
2024-08-21T11:24:50	55.87458031035368	175.4756170543917	151.46075117965762	11.9985	213484	9178988	-744.5419689646324	11407.43829456083
2024-08-21T11:24:51	55.894784725539	175.48096474479297	151.4608081133255	12.0185	20000000	20000000	-742.5215274461002	11406.903525520702
2024-08-21T11:25:06	55.957141812021405	178.26653835003535	149.92719188667448	12.0185	223169	9969295	-736.2858187978595	11128.346164996467
2024-08-21T11:25:07	55.977232430647746	178.27334023651707	149.92713485110383	12.0385	20000000	20000000	-734.2767569352254	11127.665976348293
2024-08-21T11:25:22	55.92169754511553	175.70532640601215	151.46086514889615	12.0385	198753	9190670	-739.8302454884474	11384.467359398786
2024-08-21T11:25:23	55.94189337601103	175.7107870059109	151.4609222864062	12.0585	20000000	20000000	-737.810662398897	11383.92129940891
